"Today we'll install the braces which consist of bands, brackets, and an archwire."	"오늘은 밴드, 브래킷 및 아치 와이어가 포함된 교정기를 설치할 예정입니다."
Elastic ties on your brackets will be replaced with new ones for better tension.	브래킷의 탄성 밴드를 더 나은 긴장감을 위해 새 것으로 교체할 것입니다.
Functional appliances will be used to adjust the muscle actions that affect your jaw alignment.	턱 정렬에 영향을 주는 근육 동작을 조정하기 위해 기능성 장치를 사용할 것입니다.
Your Hawley retainer must be worn at night to maintain the position of your teeth.	치아의 위치를 유지하기 위해 밤에는 호리 리테이너를 착용해야 합니다.
We'll use headgear tonight to aid in adjusting the growth of your jaws.	오늘 밤 헤드기어를 사용하여 턱의 성장 조정을 돕겠습니다.
The Herbst appliance will address your underbite by advancing your lower jaw.	Herbst 장치는 하악을 전진시켜 언더바이트를 해결할 것입니다.
An impacted tooth may require surgical intervention to aid its eruption.	매복치는 분출을 돕기 위해 수술적 개입이 필요할 수 있습니다.
Invisalign trays will straighten your teeth without the need for traditional metal braces.	Invisalign 트레이는 전통적인 금속 교정기 없이도 치아를 곧게 펼 것입니다.
"Your lip bumper will relieve pressure from your lower lip, aiding in orthodontic treatment."	입술 범퍼가 하입의 압력을 완화하여 교정 치료에 도움이 될 것입니다.
Malocclusion treatment will start with correcting the alignment of your mandible and maxilla.	부정교합 치료는 하악과 상악의 정렬을 교정하는 것부터 시작할 것입니다.
Mixed dentition in children often requires early orthodontic intervention.	어린이의 혼합 치아는 종종 초기 교정 개입을 필요로 합니다.
Mouth sores from braces are common but can be managed with proper care and orthodontic wax.	교정기로 인한 구내염은 흔하지만 적절한 관리와 교정용 왁스로 관리할 수 있습니다.
Your occlusion will be evaluated today to determine the progress of your bite correction.	오늘 교합을 평가하여 교합 교정 진행 상황을 결정할 것입니다.
"To correct your open bite, we might need to use more advanced orthodontic appliances."	열린 교합을 교정하기 위해 더 고급 교정 장치를 사용해야 할 수도 있습니다.
Orthognathic surgery is considered for severe malocclusion that cannot be corrected with braces alone.	교정기만으로 교정할 수 없는 심각한 부정교합의 경우 악교정 수술을 고려합니다.
An overbite is often corrected using braces and sometimes in conjunction with extractions.	과개교합은 종종 교정기를 사용하여 교정하며 때로는 발치와 함께 사용합니다.
Overjet correction will require careful planning and may involve several orthodontic techniques.	과개교합 교정은 신중한 계획이 필요하며 여러 교정 기법을 포함할 수 있습니다.
The palate expander will be adjusted today to continue widening your upper jaw.	오늘 상악을 계속 넓히기 위해 구개 확장기를 조정할 것입니다.
We'll install a pendulum appliance to shift your molars backward effectively.	효과적으로 구치를 뒤로 이동시키기 위해 진자 장치를 설치할 것입니다.
Periodontal health is essential for successful orthodontic treatment; we'll check your gums today.	성공적인 교정 치료를 위해 치주 건강이 중요합니다; 오늘 잇몸 상태를 확인할 것입니다.
Phase I treatment for your child will address early signs of malocclusion.	귀하의 자녀를 위한 1단계 치료는 부정교합의 초기 징후를 다룰 것입니다.
Phase II treatment involves full braces to correct permanent teeth alignment after Phase I.	2단계 치료는 1단계 후 영구 치아의 정렬을 교정하기 위해 전체 교정기를 포함합니다.
Posterior teeth adjustment will be needed to improve your bite at the back of the mouth.	입의 뒷부분에서 교합을 개선하기 위해 후치부 치아 조정이 필요합니다.
We will apply a power chain today to help close the gaps between your teeth.	오늘 치아 사이의 틈을 닫는 데 도움이 되도록 파워 체인을 적용할 것입니다.
The quad helix appliance will expand your upper jaw to correct the underbite.	쿼드 헬릭스 장치는 언더바이트를 교정하기 위해 상악을 확장할 것입니다.
"After treatment, you will wear a retainer to ensure your teeth stay in their new position."	치료 후 새로운 위치에 치아가 유지되도록 리테이너를 착용할 것입니다.
We recommend a sagittal appliance to widen your jaw gradually.	점차적으로 턱을 넓히기 위해 사지탈 장치를 추천합니다.
Self-ligating brackets are being considered for their efficiency in reducing treatment time.	치료 시간을 단축하는 효율성 때문에 자동 결찰 브래킷을 고려하고 있습니다.
We'll place separators today to prepare your teeth for the orthodontic bands next week.	다음 주에 교정 밴드를 위해 치아를 준비하기 위해 오늘 분리기를 설치할 것입니다.
A space maintainer will be used to keep the space open for an unerupted tooth.	분출되지 않은 치아를 위해 공간을 열어 두기 위해 스페이스 메인테이너를 사용할 것입니다.
Springs will be added to your braces to adjust the spacing between your teeth.	치아 간격을 조정하기 위해 교정기에 스프링을 추가할 것입니다.
"If you have TMD, we might use a splint to help alleviate your jaw pain."	"턱관절 장애가 있는 경우, 턱 통증을 완화하기 위해 스플린트를 사용할 수 있습니다."
We are monitoring your TMJ closely due to your symptoms of jaw pain and clicking.	턱 통증과 클릭 증상으로 인해 귀하의 TMJ를 면밀히 모니터링하고 있습니다.
A tooth positioner may be necessary after your braces are removed to fine-tune your bite.	교정기를 제거한 후 교합을 미세 조정하기 위해 치아 포지셔너가 필요할 수 있습니다.
The twin block appliance will be used to encourage the forward growth of your lower jaw.	하악의 전방 성장을 촉진하기 위해 트윈 블록 장치를 사용할 것입니다.
"Today, we're going to adjust your archwire and change the elastic ties on your brackets. These adjustments are crucial for aligning your teeth properly. The ligature ties are a bit loose, which might be why you're feeling less pressure lately. We'll also check the brackets for any signs of decalcification around them, which is common if plaque builds up."	오늘은 아치 와이어를 조정하고 브래킷의 탄성 밴드를 교체할 예정입니다. 이러한 조정은 치아를 제대로 정렬하는 데 매우 중요합니다. 라이게이처 타이가 약간 헐거워졌기 때문에 최근에 압력을 덜 느꼈을 수 있습니다. 플라그가 쌓이면 흔히 발생하는 브래킷 주변의 탈회를 확인할 것입니다.
"During your visit today, we will be using a quad helix appliance to widen your upper jaw. This device is crucial for correcting the underbite by expanding the arch of your maxilla gradually. Additionally, we will evaluate the need for a pendulum appliance to help with the molar movements in the back. These appliances together will address your malocclusion comprehensively."	"오늘 방문 중에는 상악을 넓히기 위해 쿼드 헬릭스 장치를 사용할 것입니다. 이 장치는 상악 아치를 점차 확장하여 언더바이트를 교정하는 데 필수적입니다. 또한, 뒤쪽 구치의 움직임을 돕기 위해 펜듈럼 장치의 필요성을 평가할 것입니다. 이러한 장치들을 함께 사용하면 귀하의 부정교합을 종합적으로 해결할 수 있습니다."
"Let's discuss the Invisalign treatment plan. You'll receive a set of clear aligners that are custom-made to gradually move your teeth into the desired position. Each aligner must be worn for at least 22 hours a day and changed every two weeks. It's a convenient option because they are nearly invisible and can be removed when you eat or brush your teeth. We'll also use attachments, which are small composite bumps bonded onto your teeth to help move them more effectively."	Invisalign 치료 계획에 대해 논의합시다. 원하는 위치로 치아를 점진적으로 이동시키기 위해 맞춤 제작된 투명 교정기 세트를 받게 됩니다. 각 교정기는 하루에 최소 22시간 동안 착용해야 하며 2주마다 교체해야 합니다. 먹거나 이를 닦을 때 제거할 수 있고 거의 보이지 않기 때문에 편리한 옵션입니다. 또한 치아를 더 효과적으로 움직이는 데 도움을 주기 위해 치아에 부착하는 작은 복합체 돌기도 사용할 것입니다.
"For your deep bite, we're recommending a treatment that includes a bite plate and possibly a Herbst appliance. The bite plate will prevent your back teeth from touching, which is essential for reducing the excessive overlap of your front teeth. In severe cases like yours, a Herbst appliance can be beneficial to advance your lower jaw and improve your facial profile by promoting a more balanced jaw growth."	과도한 교합을 줄이기 위해 뒷니가 닿는 것을 방지하는 물림판과 함께 Herbst 장치를 사용할 수도 있는 치료를 권장합니다. 귀하와 같은 심각한 경우에는 하악을 전진시켜 더 균형 잡힌 턱 성장을 촉진함으로써 얼굴 윤곽을 개선할 수 있어 Herbst 장치가 유익할 수 있습니다.
"Next week, we'll start phase II of your orthodontic treatment, which involves putting full braces on now that all your permanent teeth have erupted. This phase is crucial for fine-tuning the position of each tooth to achieve optimal occlusion. We'll be using a combination of metal bands and self-ligating brackets to enhance the efficiency of the treatment. Regular adjustments will be necessary every four to six weeks to ensure progress."	"다음 주에 모든 영구치가 나온 지금, 전체 교정기를 부착하는 2단계 교정 치료를 시작할 것입니다. 이 단계는 최적의 교합을 달성하기 위해 각 치아의 위치를 미세 조정하는 데 매우 중요합니다. 치료의 효율성을 높이기 위해 금속 밴드와 자동 결찰 브래킷의 조합을 사용할 것입니다. 진행 상황을 보장하기 위해 4~6주마다 정기적인 조정이 필요할 것입니다."
"To help your Invisalign aligners fit better against your teeth, we can use an AcceleDent device. It's a portable orthodontic accessory that vibrates gently to help move your teeth more effectively into their desired position. You just need to use it for about 20 minutes daily along with wearing your aligners as prescribed."	"Invisalign 교정기가 치아에 더 잘 맞도록 AcceleDent 장치를 사용할 수 있습니다. 이는 치아를 원하는 위치로 더 효과적으로 움직이게 도와주는 휴대용 교정 액세서리로, 부드럽게 진동합니다. 처방대로 교정기를 착용하면서 매일 약 20분간 사용하기만 하면 됩니다."
"For a detailed analysis of your jaw structure, we're going to use the Cone Beam CT scanner. This 3D imaging system, specifically the Planmeca ProMax 3D, provides us with precise views of your teeth and bones, which is crucial for planning your orthognathic surgery and ensuring successful outcomes."	"턱 구조를 자세히 분석하기 위해 Cone Beam CT 스캐너를 사용할 것입니다. Planmeca ProMax 3D와 같은 이 3D 이미징 시스템은 치아와 뼈의 정확한 이미지를 제공하여, 교정 수술 계획 및 성공적인 결과를 보장하는 데 필수적입니다."
"During your treatment, we'll utilize an intraoral scanner, specifically the iTero, to take digital impressions of your teeth. This technology eliminates the need for traditional molds, which can be uncomfortable. The digital scans help us create more accurate and comfortable aligners and retainers for you."	치료 중에는 iTero와 같은 구강 내 스캐너를 사용하여 치아의 디지털 인상을 취할 것입니다. 이 기술은 불편할 수 있는 전통적인 모형의 필요성을 없애줍니다. 디지털 스캔은 귀하에게 더 정확하고 편안한 교정기와 리테이너를 제작하는 데 도움이 됩니다.
"Given the gap between your upper front teeth, known as a diastema, we will explore various treatment options. One effective method is to use braces to gradually close the gap. Alternatively, for a quicker solution, veneers or bonding can be considered, depending on the size and your personal preference."	"상악 전면 치아 사이의 공간인 디아스테마를 고려하여, 여러 치료 옵션을 탐색할 것입니다. 하나의 효과적인 방법은 교정기를 사용하여 점차적으로 공간을 닫는 것입니다. 또는, 크기와 개인적인 선호에 따라, 보다 빠른 해결책으로 베니어 또는 본딩을 고려할 수 있습니다."
"Interceptive orthodontics is essential for addressing issues in growing children. Since your child has a mix of primary and permanent teeth, we'll start with a Phase 1 treatment. This may include using appliances like expanders to widen the jaw or special retainers to guide the proper eruption and alignment of permanent teeth."	"성장하는 어린이의 문제를 해결하기 위해 중재 교정 치료가 필요합니다. 귀하의 자녀가 유치와 영구치가 섞여 있기 때문에, 1단계 치료부터 시작할 것입니다. 이는 턱을 넓히기 위해 확장기 같은 장치나 영구 치아의 적절한 분출과 정렬을 안내하는 특수 리테이너를 사용할 수 있습니다."
"To address your Class II Malocclusion, we're considering using a Herbst appliance. This device is excellent for correcting bites where the lower jaw is set back relative to the upper jaw. It helps bring the lower jaw forward, aligning it properly with the upper jaw, which can significantly improve your facial profile and bite."	2급 부정교합을 해결하기 위해 Herbst 장치 사용을 고려하고 있습니다. 이 장치는 하악이 상악에 비해 뒤로 설정된 교합을 교정하는 데 탁월합니다. 하악을 전방으로 이동시켜 상악과 제대로 맞추어 얼굴 윤곽과 교합을 크게 개선할 수 있습니다.
"For your orthodontic treatment, we're planning to use self-ligating braces, which don't require o-ties. These braces include a built-in mechanism to hold the archwire, reducing the amount of pressure on your teeth and potentially shortening your treatment time."	"교정 치료를 위해, o-ties를 필요로 하지 않는 자동 결찰 교정기를 사용할 계획입니다. 이 교정기에는 아치 와이어를 고정하는 내장 메커니즘이 포함되어 있어 치아에 가해지는 압력을 줄이고 치료 시간을 단축할 수 있습니다."
"Today, we're going to start with fitting you for the Damon braces system, which is a type of self-ligating braces. This system does not require elastic ties, allowing for more freedom of movement and potentially less discomfort. The brackets themselves have a sliding mechanism that holds the archwire, helping your teeth move more freely and efficiently."	"오늘은 데몬 브레이스 시스템을 착용할 예정입니다. 이것은 자동 결찰 브레이스의 한 유형으로, 탄성 밴드가 필요 없어 움직임의 자유도가 더 높고 불편함이 적을 수 있습니다. 브래킷 자체에는 아치 와이어를 고정하는 슬라이딩 메커니즘이 있어 치아가 더 자유롭고 효율적으로 움직일 수 있게 돕습니다."
"To correct the spacing issues between your teeth, particularly the diastema between your front teeth, we'll use a series of clear aligners. Each aligner will apply targeted pressure to close the gap gradually without the aesthetics concerns associated with traditional braces."	"치아 사이, 특히 앞니 사이의 디아스테마와 같은 공간 문제를 교정하기 위해 일련의 투명 교정기를 사용할 것입니다. 각 교정기는 전통적인 교정기와 관련된 미학적 우려 없이 점차적으로 공간을 닫기 위해 표적 압력을 가할 것입니다."
"For your overbite, we are considering the In-Ovation System Braces. This self-ligating system will help realign your jaw and teeth by allowing for more efficient tooth movement. These braces are known for reducing treatment time and improving patient comfort due to less friction on the teeth and gums."	"과개교합을 위해, In-Ovation System Braces를 고려하고 있습니다. 이 자동 결찰 시스템은 더 효율적인 치아 이동을 허용함으로써 턱과 치아의 재정렬을 돕습니다. 이 교정기는 치아와 잇몸에 미치는 마찰이 적어 치료 시간을 줄이고 환자의 편안함을 향상시키는 것으로 알려져 있습니다."
"Given your interest in less visible orthodontic solutions, I recommend we consider ceramic braces for you. These braces use brackets made of tooth-colored or clear ceramic that blend in with your teeth, making them less noticeable than traditional metal brackets."	"눈에 덜 띄는 교정 솔루션에 관심이 있으시다면, 세라믹 교정기를 고려해 보는 것이 좋겠습니다. 이 교정기는 치아 색상 또는 투명 세라믹으로 만든 브래킷을 사용하여 치아와 잘 어울려 전통적인 금속 브래킷보다 덜 눈에 띕니다."
"As part of your treatment, we're going to use an expander to address the narrowness of your upper jaw, which has contributed to your crossbite. The device will be gradually adjusted to widen your palate over time, helping to correct the alignment of your upper and lower teeth."	"치료의 일환으로, 교차 교합에 기여한 상악의 좁음을 해결하기 위해 확장기를 사용할 것입니다. 이 장치는 시간이 지남에 따라 점차 조정되어 구개를 넓히고, 상악과 하악의 치아 정렬을 교정하는 데 도움이 될 것입니다."
"Since you are an active sports player, we highly recommend a custom-made mouthguard. This mouthguard will protect your braces and teeth from any potential injuries during sports activities. It's designed to fit comfortably in your mouth without affecting your breathing or speaking."	활동적인 스포츠 선수이기 때문에 맞춤형 마우스가드를 강력히 추천합니다. 이 마우스가드는 스포츠 활동 중 발생할 수 있는 교정기와 치아의 부상을 방지합니다. 호흡이나 말하는 것에 영향을 주지 않고 입에 편안하게 맞도록 설계되었습니다.
"To manage your underbite and promote better jaw alignment, we're planning to use a Herbst appliance. This appliance is particularly effective for younger patients with growing jaws, as it encourages the lower jaw to move forward relative to the upper jaw."	"하악돌출을 관리하고 더 나은 턱 정렬을 촉진하기 위해 Herbst 장치를 사용할 계획입니다. 이 장치는 하악을 상악에 비해 전방으로 이동하도록 장려하여, 성장하는 턱을 가진 어린 환자에게 특히 효과적입니다."
"To address your open bite, we might consider using a combination of a quad-helix appliance and braces. The quad-helix appliance will help expand your upper arch, which is often necessary in cases of anterior open bites. Subsequently, braces will align and close any remaining gaps, ensuring your teeth meet correctly when you bite down."	"열린 교합을 해결하기 위해 쿼드 헬릭스 장치와 교정기의 조합을 고려할 수 있습니다. 쿼드 헬릭스 장치는 종종 전방 열린 교합 사례에서 필요한 상악 확장을 도울 것입니다. 이후 교정기가 남아 있는 틈을 정렬하고 닫아, 교합시 치아가 올바르게 맞물리도록 할 것입니다."
"For enhanced precision in your treatment planning, we'll utilize the Cone Beam CT technology. This 3D imaging system will provide detailed views of your teeth, jawbone, and surrounding structures, allowing us to create a more accurate and effective treatment plan, particularly useful for preparing for orthognathic surgery."	"치료 계획의 정밀도를 높이기 위해 콘빔 CT 기술을 활용할 것입니다. 이 3D 이미징 시스템은 치아, 턱뼈, 주변 구조의 자세한 이미지를 제공하여, 특히 교정 수술을 준비하는 데 유용한 더 정확하고 효과적인 치료 계획을 세울 수 있게 할 것입니다."
"Since you're concerned about the visibility of your orthodontic treatment, I recommend considering lingual braces. These are attached to the inside of your teeth, making them virtually invisible from the outside. They're an excellent option for adults and professionals who are seeking less noticeable orthodontic solutions."	"교정 치료의 가시성이 걱정된다면, 설측 교정기를 고려해 볼 것을 추천합니다. 이 교정기는 치아의 안쪽에 부착되어 외부에서 거의 보이지 않습니다. 눈에 덜 띄는 교정 솔루션을 찾는 성인과 전문직 종사자에게 탁월한 옵션입니다."
"To assist in the fitting of your Invisalign aligners, we'll use an intraoral scanner to take precise digital impressions of your teeth. This technology avoids the discomfort of traditional gooey molds and increases the accuracy of the aligners, ensuring they fit perfectly and move your teeth efficiently."	Invisalign 교정기를 착용하는 데 도움이 되도록 구강 내 스캐너를 사용하여 치아의 정밀한 디지털 인상을 취할 것입니다. 이 기술은 전통적인 끈적한 모형의 불편함을 피하고 교정기의 정확성을 높여 완벽하게 맞고 효율적으로 치아를 움직일 수 있도록 합니다.
"With your Class III malocclusion, where your lower teeth and jaw are positioned ahead of your upper teeth, a corrective approach might involve both braces and a functional appliance like the Herbst appliance. This combination helps to adjust the position of the jaw, aligning it more effectively with the upper jaw to improve your bite and facial aesthetics."	"하악과 치아가 상악보다 앞에 위치한 귀하의 3급 부정교합의 경우, 교정기와 Herbst 장치와 같은 기능성 장치를 모두 사용하는 교정 접근 방법이 필요할 수 있습니다. 이 조합은 턱의 위치를 조정하여 상악과 더 효과적으로 정렬시켜 교합과 얼굴 미학을 개선하는 데 도움이 됩니다."
"If you're active in sports, I highly recommend getting a custom-fitted mouthguard. Not only will it protect your teeth and braces during physical activities, but it also minimizes the risk of injuries to your gums and soft tissues inside the mouth. A properly fitted mouthguard is essential for anyone wearing braces and engaging in contact sports."	"스포츠 활동을 활발히 하는 경우, 맞춤형 마우스가드를 강력히 추천합니다. 이것은 신체 활동 중 치아와 교정기를 보호할 뿐만 아니라 입 안의 잇몸과 연조직의 부상 위험도 최소화합니다. 접촉 스포츠에 참여하는 교정기 착용자에게 적절하게 맞는 마우스가드는 필수입니다."
"To address the overcrowding of your lower teeth, we'll use Damon braces. These self-ligating braces help align teeth faster and with less discomfort because they don't require elastic ties."	하악의 치아 과잉을 해결하기 위해 데몬 교정기를 사용할 것입니다. 이 자동 결찰 교정기는 탄성 밴드가 필요 없어 더 빠르고 편안하게 치아를 정렬할 수 있습니다.
"For the diastema between your front teeth, clear aligners could be an effective solution. They're less noticeable and can gradually close the gap without the look of traditional braces."	"앞니 사이의 공간(디아스테마)을 위해, 투명 교정기가 효과적인 해결책이 될 수 있습니다. 덜 눈에 띄며 전통적인 교정기의 모습 없이 점차적으로 틈을 메울 수 있습니다."
